"ensembl_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ENSG00000109320",1653.15135684719,4.22725970191414,0.107160143313445,0,0,"NFKB1"
"ENSG00000291237",31081.4927213258,5.69042718203365,0.120131858086555,0,0,"SOD2"
"ENSG00000070961",3926.51637531747,4.66988942423895,0.0927013222283787,0,0,"ATP2B1"
"ENSG00000185215",17401.9954721295,7.96452925006476,0.147976041810578,0,0,"TNFAIP2"
"ENSG00000090339",19727.4761953699,6.87590129321101,0.17525165849554,0,0,"ICAM1"
"ENSG00000145901",3942.31253698663,4.00590063591695,0.104411810288204,3.95252516672997e-323,1.37147682629072e-319,"TNIP1"
"ENSG00000184384",1137.25920578177,2.79859087905757,0.0750865461967654,8.09129921738722e-305,2.40646797723978e-301,"MAML2"
"ENSG00000173193",2469.60488570364,4.81896834053005,0.133449864124844,9.04761649083794e-287,2.35452909653444e-283,"PARP14"
"ENSG00000165434",1611.12009927671,5.14222922597453,0.143719232851664,9.71330095985565e-282,2.24690236314705e-278,"PGM2L1"
"ENSG00000128342",15441.210410943,8.76173119299964,0.245257444928732,2.6489818182388e-280,5.51491524739136e-277,"LIF"
"ENSG00000163739",5573.11640148598,10.3860492342439,0.294293931509688,5.92120645665329e-273,1.12066906564604e-269,"CXCL1"
"ENSG00000003989",15170.2609720416,6.75611405490093,0.196630050440388,2.47084906056336e-260,4.28671721598905e-257,"SLC7A2"
"ENSG00000131979",926.34332867555,6.80614529246678,0.20764557495431,5.246074845344e-236,8.40138709270898e-233,"GCH1"
"ENSG00000134070",700.063348377588,6.12536680739433,0.196815567647994,3.52887132352656e-214,5.2476837203214e-211,"IRAK2"
"ENSG00000123983",2183.31306877164,3.10904523865503,0.100895059184584,1.0827558248404e-209,1.50279290115682e-206,"ACSL3"
"ENSG00000146457",1894.25108263231,4.28032270141856,0.139805105406611,3.12660411157333e-207,4.06829818742782e-204,"WTAP"
"ENSG00000118503",2433.30793874448,5.71170913037361,0.190470732614509,1.75393055494157e-198,2.14794589548991e-195,"TNFAIP3"
"ENSG00000159110",432.478726859836,4.26020578726745,0.14304477962621,8.6769363666192e-196,1.00358410120358e-192,"IFNAR2"
"ENSG00000100906",2446.75074910784,5.12978263721753,0.173363398545683,1.08929038919213e-193,1.193575611189e-190,"NFKBIA"
"ENSG00000130589",1905.05396312717,5.00620244022875,0.169374666916973,2.89303766882246e-193,3.01150756136074e-190,"HELZ2"
"ENSG00000163874",1086.27078528525,5.21006413409244,0.177767596466617,5.48756340967127e-190,5.44026583933077e-187,"ZC3H12A"
"ENSG00000123689",5408.37338323523,7.75451678819524,0.266786602938065,3.08037156654618e-187,2.9150116201784e-184,"G0S2"
"ENSG00000162645",1149.86552674843,4.53873475077634,0.157354731149773,3.35232032141652e-184,3.03443290311176e-181,"GBP2"
"ENSG00000126561",1524.11746278209,3.91389965213161,0.13588848289192,1.71053688421284e-182,1.48381947468447e-179,"STAT5A"
"ENSG00000137331",6757.74011617789,5.05135487550136,0.175932095940732,1.94678392591081e-182,1.62120378214148e-179,"IER3"
"ENSG00000145779",443.714939474956,5.16762674516098,0.182699710223422,2.43488029580182e-177,1.94968357224223e-174,"TNFAIP8"
"ENSG00000077150",1601.72668660686,3.73343165780552,0.131901845214228,2.81066597879195e-177,2.16723166712851e-174,"NFKB2"
"ENSG00000177189",1377.91945378308,3.67774381743303,0.130005527820751,4.06604626280446e-177,3.02325061233307e-174,"RPS6KA3"
"ENSG00000187479",2611.58886071914,6.88936129867558,0.250348799784059,2.9658933803809e-169,2.1292046305569e-166,"C11orf96"
"ENSG00000083799",1311.03358849623,3.39972254994166,0.125657776893896,3.32668324276513e-162,2.30860728103758e-159,"CYLD"
"ENSG00000121440",1268.39848025538,3.66319507381362,0.136520920965683,7.14477126417129e-160,4.798290095122e-157,"PDZRN3"
"ENSG00000104312",748.419977004364,5.21317486101002,0.195930488591089,1.59329910134667e-157,1.03659043721676e-154,"RIPK2"
"ENSG00000149289",726.313928738565,4.41226469080724,0.167721479100006,1.8295453273597e-153,1.15422133849399e-150,"ZC3H12C"
"ENSG00000167034",950.507830380338,4.49575390958521,0.172733506701229,2.72805814065805e-150,1.67045418912824e-147,"NKX3-1"
"ENSG00000068366",3417.14421715075,4.20647628061355,0.162250031371607,3.8025472709735e-149,2.26186376098278e-146,"ACSL4"
"ENSG00000026508",12285.1305152595,2.5323493843584,0.0984359000040897,7.67382735689665e-147,4.43781699286754e-144,"CD44"
"ENSG00000028277",467.501040322378,6.86007352811366,0.271591812874249,4.47889256524905e-141,2.52016390043027e-138,"POU2F2"
"ENSG00000010818",3338.86218951404,3.5003500917419,0.139652232872578,1.31709929573001e-139,7.21597111521134e-137,"HIVEP2"
"ENSG00000104635",7200.13180833879,3.24256412024977,0.130179329695802,1.56379900045468e-137,8.3478798437092e-135,"SLC39A14"
"ENSG00000110911",367.504204158308,2.559447965214,0.104129734301336,1.87028312520203e-134,9.73435609589526e-132,"SLC11A2"
